41580.000000000109,0.0,41580.000000000109,41580.000000000109
29217.663484109002,2070.8468808953203,25075.969722318361,33359.357245899642
24561.649061924101,889.90990011660608,22781.829261690888,26341.468862157315
21167.024366278391,1567.1761410088645,18032.672084260663,24301.376648296118
18213.479903152696,1742.9247638287777,14727.63037549514,21699.329430810252
16059.293853205952,1655.4348827726546,12748.424087660644,19370.163618751263
14632.861546235865,1548.3984929147414,11536.064560406383,17729.658532065347
13166.810515749807,1156.971207877473,10852.868099994861,15480.752931504752
12421.456920632269,709.35228367232287,11002.752353287622,13840.161487976915
11547.333256673617,641.0970793741235,10265.13909792537,12829.527415421864
11017.867807571525,766.24008239124794,9485.38764278903,12550.34797235402
10486.450517472933,655.91336295601388,9174.6237915609054,11798.27724338496
